"","CommonName","SamplingEventIdentifier","SurveyAreaIdentifier","RouteIdentifier","Locality","SiteCode","collection","survey_day","survey_month","survey_year","survey_week","ProtocolCode","CollectorNumber","EffortUnits1","EffortMeasurement1","EffortUnits3","EffortMeasurement3","EffortUnits5","EffortMeasurement5","EffortUnits11","EffortMeasurement11","EffortUnits14","EffortMeasurement14","species_id","ScientificName","latitude","longitude","bcr","StateProvince","ObservationDescriptor","ObservationCount","ObservationDescriptor2","ObservationCount2","ObservationDescriptor3","ObservationCount3","date","doy","nstop","ObservationCount1"
"1","Barred Owl","ATOWLS-69720-9","100986","NB054","NB054-9","NB054-9","ATOWLS",4,4,2017,1,"37",1030073,"WindBeaufortStart",1,"TemperatureCelciusStart",11,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",45.76873,-65.880539,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-04-04,94,10,0
"2","Barred Owl","ATOWLS-69944-7","100614","NB017","NB017-7","NB017-7","ATOWLS",24,4,2017,3,"37",1030056,"WindBeaufortStart",2,"TemperatureCelciusStart",-1,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.515301,-66.584427,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-04-24,114,10,0
"3","Barred Owl","ATOWLS-69943-3","100850","NB041","NB041-3","NB041-3","ATOWLS",9,4,2017,2,"37",1030056,"WindBeaufortStart",0,"TemperatureCelciusStart",2,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.579891,-66.036041,14,"NB","TotalCount",1,"1st Min.",1,"2nd Min.",1,2017-04-09,99,10,1
"4","Barred Owl","ATOWLS-69720-9","100986","NB054","NB054-9","NB054-9","ATOWLS",4,4,2017,1,"37",1030073,"WindBeaufortStart",1,"TemperatureCelciusStart",11,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",45.76873,-65.880539,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-04-04,94,10,0
"5","Barred Owl","ATOWLS-69943-5","100852","NB041","NB041-5","NB041-5","ATOWLS",9,4,2017,2,"37",1030056,"WindBeaufortStart",0,"TemperatureCelciusStart",2,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.584579,-66.086128,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-04-09,99,10,0
"6","Barred Owl","ATOWLS-69943-5","100852","NB041","NB041-5","NB041-5","ATOWLS",9,4,2017,2,"37",1030056,"WindBeaufortStart",0,"TemperatureCelciusStart",2,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.584579,-66.086128,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-04-09,99,10,0
"7","Barred Owl","ATOWLS-69943-6","100853","NB041","NB041-6","NB041-6","ATOWLS",9,4,2017,2,"37",1030056,"WindBeaufortStart",0,"TemperatureCelciusStart",2,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.587299,-66.11097,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-04-09,99,10,0
"8","Barred Owl","ATOWLS-69826-9","100466","NB002","NB002-9","NB002-9","ATOWLS",18,4,2017,3,"37",1068489,"WindBeaufortStart",0,"TemperatureCelciusStart",1,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",45.541183,-67.374199,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-04-18,108,10,0
"9","Barred Owl","ATOWLS-69944-2","100609","NB017","NB017-2","NB017-2","ATOWLS",24,4,2017,3,"37",1030056,"WindBeaufortStart",2,"TemperatureCelciusStart",-1,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.500271,-66.706657,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-04-24,114,10,0
"10","Barred Owl","ATOWLS-70179-9","101176","NB073","NB073-9","NB073-9","ATOWLS",12,5,2017,2,"37",1030070,"WindBeaufortStart",0,"TemperatureCelciusStart",10,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.156281,-65.905853,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-05-12,132,10,0
"11","Barred Owl","ATOWLS-70179-10","101177","NB073","NB073-10","NB073-10","ATOWLS",12,5,2017,2,"37",1030070,"WindBeaufortStart",0,"TemperatureCelciusStart",10,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.160488,-65.879097,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-05-12,132,10,0
"12","Barred Owl","ATOWLS-70255-3","100900","NB046","NB046-3","NB046-3","ATOWLS",4,5,2017,1,"37",1030405,"WindBeaufortStart",2,"TemperatureCelciusStart",12,"Precipitation",0,"NoiseLevel",2,"Repeat",NA,7590,"Strix varia",47.027561,-65.715858,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-05-04,124,10,0
"13","Barred Owl","ATOWLS-69944-5","100612","NB017","NB017-5","NB017-5","ATOWLS",24,4,2017,3,"37",1030056,"WindBeaufortStart",2,"TemperatureCelciusStart",-1,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.5033,-66.631126,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-04-24,114,10,0
"14","Barred Owl","ATOWLS-69944-4","100611","NB017","NB017-4","NB017-4","ATOWLS",24,4,2017,3,"37",1030056,"WindBeaufortStart",2,"TemperatureCelciusStart",-1,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.501881,-66.656982,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-04-24,114,10,0
"15","Barred Owl","ATOWLS-69944-7","100614","NB017","NB017-7","NB017-7","ATOWLS",24,4,2017,3,"37",1030056,"WindBeaufortStart",2,"TemperatureCelciusStart",-1,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.515301,-66.584427,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-04-24,114,10,0
"16","Barred Owl","ATOWLS-70476-2","101369","NB094","NB094-2","NB094-2","ATOWLS",20,5,2017,3,"37",1030122,"WindBeaufortStart",0,"TemperatureCelciusStart",4,"Precipitation",0,"NoiseLevel",3,"Repeat",NA,7590,"Strix varia",47.49778,-67.982437,14,"NB","TotalCount",1,"1st Min.",1,"2nd Min.",0,2017-05-20,140,10,1
"17","Barred Owl","ATOWLS-70480-4","101381","NB096","NB096-4","NB096-4","ATOWLS",12,5,2017,2,"37",1030122,"WindBeaufortStart",2,"TemperatureCelciusStart",12,"Precipitation",0,"NoiseLevel",2,"Repeat",NA,7590,"Strix varia",47.23991,-67.539101,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-05-12,132,10,0
"18","Barred Owl","ATOWLS-70480-8","101385","NB096","NB096-8","NB096-8","ATOWLS",12,5,2017,2,"37",1030122,"WindBeaufortStart",2,"TemperatureCelciusStart",12,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.20866,-67.474823,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-05-12,132,10,0
"19","Barred Owl","ATOWLS-70179-9","101176","NB073","NB073-9","NB073-9","ATOWLS",12,5,2017,2,"37",1030070,"WindBeaufortStart",0,"TemperatureCelciusStart",10,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.156281,-65.905853,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-05-12,132,10,0
"20","Barred Owl","ATOWLS-70255-1","100898","NB046","NB046-1","NB046-1","ATOWLS",4,5,2017,1,"37",1030405,"WindBeaufortStart",2,"TemperatureCelciusStart",12,"Precipitation",0,"NoiseLevel",2,"Repeat",NA,7590,"Strix varia",47.003391,-65.729599,14,"NB","TotalCount",1,"1st Min.",0,"2nd Min.",0,2017-05-04,124,10,0
"21","Barred Owl","ATOWLS-70504-10","101277","NB083","NB083-10","NB083-10","ATOWLS",27,5,2017,4,"37",1030122,"WindBeaufortStart",2,"TemperatureCelciusStart",13,"Precipitation",0,"NoiseLevel",1,"Repeat",NA,7590,"Strix varia",47.43042,-67.519638,14,"NB","TotalCount",1,"1st Min.",1,"2nd Min.",1,2017-05-27,147,10,1
