"","RouteIdentifier","survey_year","CollectorNumber","nstop","StateProvince","latitude","longitude","bcr"
"1","NS036",2017,1032073,10,"NS",44.721779,-65.007431,14
"2","NS029",2017,1051828,10,"NS",44.91608,-63.404789,14
"3","NS025",2017,1030311,10,"NS",45.861469,-64.133003,14
"4","NS014",2017,1030340,10,"NS",45.398479,-62.493778,14
"5","NS016",2017,1051814,10,"NS",45.418629,-63.040161,14
"6","NS048",2017,1030079,10,"NS",44.37122,-65.919701,14
"7","NS003",2017,1030054,10,"NS",45.75526,-61.930302,14
"8","NS021",2017,1030049,10,"NS",45.057018,-63.150108,14
"9","NS035",2017,1031548,10,"NS",44.339329,-64.628418,14
"10","NS034",2017,1031548,10,"NS",44.265541,-64.602493,14
"11","NS049",2017,1031548,10,"NS",44.374001,-64.443802,14
"12","NS044",2017,1069217,10,"NS",44.175701,-66.065002,14
"13","NS026",2017,1032294,10,"NS",45.659531,-64.382339,14
"14","NS019",2017,1051816,9,"NS",44.81395,-62.67519,14
"15","NS019",2016,1051816,9,"NS",44.81395,-62.67519,14
"16","NS028",2017,1030104,10,"NS",44.77626,-63.836529,14
"17","NS039",2017,1051834,10,"NS",44.96664,-65.057533,14
"18","NS015",2017,1048652,10,"NS",45.63282,-63.057991,14
"19","NS027",2017,1077695,10,"NS",44.723099,-63.916401,14
"20","NS032",2017,1031008,10,"NS",44.963039,-64.220131,14
"21","NS017",2017,1051815,10,"NS",45.105282,-63.46595,14
"22","NS043",2017,1078945,10,"NS",43.78371,-65.349083,14
"23","NS047",2017,1079012,10,"NS",44.555771,-65.853317,14
"24","NS022",2017,1074862,10,"NS",45.905701,-63.8969,14
"25","NS041",2017,1051836,10,"NS",44.437191,-65.19619,14
"26","NS013",2017,1031199,10,"NS",45.401241,-62.47691,14
"27","NS036",2018,1032073,10,"NS",44.721779,-65.007431,14
"28","NS025",2018,1030311,10,"NS",45.861469,-64.133003,14
"29","NS014",2018,1030340,10,"NS",45.398479,-62.493778,14
"30","NS017",2018,1051815,9,"NS",45.105282,-63.46595,14
"31","NS004",2017,1030340,10,"NS",45.4268,-62.700001,14
"32","NS032",2018,1031008,10,"NS",44.963039,-64.220131,14
"33","NS029",2018,1051828,10,"NS",44.91608,-63.404789,14
"34","NS027",2018,1077695,10,"NS",44.723099,-63.916401,14
"35","NS021",2018,1030049,10,"NS",45.057018,-63.150108,14
"36","NS004",2018,1030340,10,"NS",45.4268,-62.700001,14
"37","NS003",2018,1030340,10,"NS",45.75526,-61.930302,14
"38","NS037",2018,1079396,10,"NS",45.011002,-64.578934,14
"39","NS038",2018,1079396,10,"NS",45.1689,-64.515404,14
"40","NS026",2018,1079478,10,"NS",45.659531,-64.382339,14
"41","NS018",2018,1030162,10,"NS",44.97805,-62.665749,14
"42","NS030",2018,1051829,9,"NS",45.22155,-63.98658,14
"43","NS039",2018,1051834,10,"NS",44.96664,-65.057533,14
"44","NS046",2018,1077309,10,"NS",44.3951,-65.820198,14
"45","NS047",2018,1079012,10,"NS",44.555771,-65.853317,14
"46","NS015",2018,1048652,6,"NS",45.63282,-63.057991,14
"47","NS028",2018,1030104,11,"NS",44.77626,-63.836529,14
"48","NS035",2018,1031548,10,"NS",44.339329,-64.628418,14
"49","NS049",2018,1031548,10,"NS",44.374001,-64.443802,14
"50","NS041",2018,1051836,10,"NS",44.437191,-65.19619,14
"51","NS053",2018,1078945,10,"NS",43.831387,-65.67411,14
"52","NS033",2018,1051814,10,"NS",44.76342,-64.240532,14
"53","NS044",2018,1069217,10,"NS",44.175701,-66.065002,14
"54","NS040",2018,1077838,10,"NS",44.509102,-65.259102,14
"55","NS020",2018,1080791,10,"NS",44.806,-63.170052,14
"56","NS013",2018,1031199,10,"NS",45.401241,-62.47691,14
"57","NS029",2019,1051828,10,"NS",44.91608,-63.404789,14
"58","NS014",2019,1030340,10,"NS",45.398479,-62.493778,14
"59","NS023",2019,1081094,10,"NS",45.605331,-63.564098,14
"60","NS033",2019,1080982,10,"NS",44.76342,-64.240532,14
"61","NS025",2019,1030311,10,"NS",45.861469,-64.133003,14
"62","NS006",2019,1081121,10,"NS",45.45879,-61.755951,14
"63","NS036",2019,1032073,10,"NS",44.721779,-65.007431,14
"64","NS004",2019,1030340,10,"NS",45.4268,-62.700001,14
"65","NS037",2019,1079396,10,"NS",45.011002,-64.578934,14
"66","NS038",2019,1079396,10,"NS",45.1689,-64.515404,14
"67","NS047",2019,1079012,10,"NS",44.555771,-65.853317,14
"68","NS021",2019,1030049,10,"NS",45.057018,-63.150108,14
"69","NS026",2019,1079478,10,"NS",45.659531,-64.382339,14
"70","NS031",2019,1032652,10,"NS",45.06802,-64.418053,14
"71","NS053",2019,1078945,10,"NS",43.831387,-65.67411,14
"72","NS001",2011,1030340,10,"NS",45.7273,-62.7951,14
"73","NS001",2008,1030340,10,"NS",45.7273,-62.7951,14
"74","NS001",2012,1030340,10,"NS",45.7273,-62.7951,14
"75","NS001",2010,1030340,10,"NS",45.7273,-62.7951,14
"76","NS001",2003,1074860,3,"NS",45.7273,-62.7951,14
"77","NS001",2006,1077306,10,"NS",45.7273,-62.7951,14
"78","NS001",2004,1077306,10,"NS",45.7273,-62.7951,14
"79","NS001",2005,1077306,10,"NS",45.7273,-62.7951,14
"80","NS002",2014,1051808,10,"NS",45.6837,-61.9826,14
"81","NS002",2005,1074846,10,"NS",45.6837,-61.9826,14
"82","NS002",2006,1077304,10,"NS",45.6837,-61.9826,14
"83","NS003",2006,1030054,10,"NS",45.75526,-61.930302,14
"84","NS003",2010,1030054,10,"NS",45.75526,-61.930302,14
"85","NS003",2015,1030054,10,"NS",45.75526,-61.930302,14
"86","NS003",2002,1030054,10,"NS",45.75526,-61.930302,14
"87","NS003",2014,1030054,10,"NS",45.75526,-61.930302,14
"88","NS003",2013,1030054,10,"NS",45.75526,-61.930302,14
"89","NS003",2012,1030054,10,"NS",45.75526,-61.930302,14
"90","NS003",2005,1030054,10,"NS",45.75526,-61.930302,14
"91","NS003",2007,1030054,10,"NS",45.75526,-61.930302,14
"92","NS003",2009,1030054,10,"NS",45.75526,-61.930302,14
"93","NS003",2016,1030054,10,"NS",45.75526,-61.930302,14
"94","NS003",2008,1030054,10,"NS",45.75526,-61.930302,14
"95","NS003",2011,1077307,10,"NS",45.75526,-61.930302,14
